 wavelength   modelled flux   observed flux
   649.721985       5.11371996E-03   0.00000000    
   649.396545       5.19151706E-03   1.00207571E-05
   649.071411       5.26684616E-03   0.00000000    
   648.746643       5.34674525E-03   1.99854694E-05
   648.422241       5.43930288E-03   9.97070401E-06
   648.098145       5.53879468E-03   1.00670195E-05
   647.774353       5.64109627E-03   9.95108803E-06
   647.450867       5.74079342E-03   4.01567304E-05
   647.127747       5.87275159E-03   7.01080135E-05
   646.804932       6.05079904E-03   6.00804196E-05
   646.482422       6.27742847E-03   9.01617459E-05
   646.160217       6.54773368E-03   5.00869719E-05
   645.838379       6.84854854E-03   7.01588215E-05
   645.516846       7.16796983E-03   1.60509182E-04
   645.195618       7.50501594E-03   1.12319110E-04
   644.874695       7.86233507E-03   1.10408611E-04
   644.554138       8.32180679E-03   1.40433505E-04
   644.233887       8.89265817E-03   1.70710264E-04
   643.914001       9.56359319E-03   2.11036226E-04
   643.594299       1.03177791E-02   4.44040605E-04
   643.275024       1.11293131E-02   3.53876763E-04
   642.956055       1.19968420E-02   4.32849192E-04
   642.637390       1.29103167E-02   3.42218584E-04
   642.319031       1.38570834E-02   4.87450365E-04
   642.000977       1.46566397E-02   6.97454321E-04
   641.683228       1.52459126E-02   6.19491853E-04
   641.365845       1.55876996E-02   8.15611100E-04
   641.048767       1.56273022E-02   1.09669194E-03
   640.731934       1.52306901E-02   1.40494609E-03
   640.415466       1.46032358E-02   1.44512567E-03
   640.099304       1.38147501E-02   2.18709535E-03
   639.783508       1.29438676E-02   2.16862839E-03
   639.467957       1.23907328E-02   2.72861752E-03
   639.152710       1.22173456E-02   3.90807958E-03
   638.837769       1.24021359E-02   4.63063829E-03
   638.523193       1.29321394E-02   4.25176462E-03
   638.208923       1.37924720E-02   5.31323347E-03
   637.894897       1.48714725E-02   6.78311056E-03
   637.581238       1.61527339E-02   8.22533201E-03
   637.267883       1.76479351E-02   9.13618412E-03
   636.954834       1.93215460E-02   1.15713431E-02
   636.642029       2.10883971E-02   1.40686743E-02
   636.329590       2.29281597E-02   1.65711381E-02
   636.017456       2.48294864E-02   2.09731180E-02
   635.705627       2.65307724E-02   2.40613911E-02
   635.394104       2.77942549E-02   2.59738807E-02
   635.082886       2.84587294E-02   2.80030239E-02
   634.771973       2.78959069E-02   2.36238465E-02
   634.461365       2.62033306E-02   2.14195326E-02
   634.151062       2.36363541E-02   1.82509050E-02
   633.841003       2.02836022E-02   1.61126908E-02
   633.531372       1.67414285E-02   1.58463530E-02
   633.221985       1.35397697E-02   1.32632889E-02
   632.912842       1.08062821E-02   1.37599688E-02
   632.604065       8.85106623E-03   1.33658377E-02
   632.295532       7.75489910E-03   1.33646568E-02
   631.987366       6.99333102E-03   1.44587606E-02
   631.679504       6.45894418E-03   1.54500706E-02
   631.371887       6.04423741E-03   1.76668931E-02
   631.064575       5.68969967E-03   2.01953799E-02
   630.757568       5.37070353E-03   2.20592041E-02
   630.450928       5.07789198E-03   2.74185631E-02
   630.144470       4.83704032E-03   3.17493416E-02
   629.838379       4.63093165E-03   3.84882726E-02
   629.532593       4.45868541E-03   4.50344160E-02
   629.227112       4.32757288E-03   5.43235540E-02
   628.921875       4.22951579E-03   5.57093956E-02
   628.616943       4.14730236E-03   5.32707125E-02
   628.312256       4.07660520E-03   4.76332381E-02
   628.007996       4.00666334E-03   3.95794213E-02
   627.703979       3.92317958E-03   3.45866792E-02
   627.400208       3.83423339E-03   2.73833089E-02
   627.096741       3.74893448E-03   2.13852935E-02
   626.793640       3.70902708E-03   1.87469162E-02
   626.490784       3.69780604E-03   1.51683399E-02
   626.188232       3.71243246E-03   1.20809348E-02
   625.885925       3.74556752E-03   9.08235088E-03
   625.583984       3.78700998E-03   7.47062778E-03
   625.282288       3.83508345E-03   6.50966913E-03
   624.980896       3.89022566E-03   5.03304927E-03
   624.679749       3.95870302E-03   4.40649223E-03
   624.378906       4.03947616E-03   2.81794020E-03
   624.078430       4.13435185E-03   1.87862676E-03
   623.778198       4.26800689E-03   8.94584169E-04
   623.478210       4.44123335E-03   4.47292085E-04
   623.178528       4.64304164E-03   2.23646039E-05
   622.879211       4.86666430E-03   0.00000000    
   622.580139       5.07326610E-03   0.00000000    
   622.281311       5.27402619E-03   0.00000000    
   621.982788       5.47182932E-03   0.00000000    
   621.684570       5.69014531E-03   0.00000000    
   621.386658       5.88425482E-03   0.00000000    
   621.088989       6.04323205E-03   0.00000000    
   620.791626       6.10227743E-03   0.00000000    
   620.494507       6.07861578E-03   0.00000000    
   620.197693       5.99170150E-03   0.00000000    
   619.901245       5.83050679E-03   0.00000000    
   619.604980       5.60088642E-03   0.00000000    
   619.309021       5.34015708E-03   0.00000000    
   619.013367       5.05298190E-03   0.00000000    
   618.718018       4.75774426E-03   0.00000000    
   618.422852       4.47695749E-03   0.00000000    
   618.128052       4.21650941E-03   0.00000000    
   617.833496       4.01841011E-03   0.00000000    
   617.539246       3.89140518E-03   0.00000000    
   617.245300       3.80816334E-03   0.00000000    
   616.951538       3.75889777E-03   0.00000000    
   616.658142       3.70036694E-03   0.00000000    
   616.364990       3.63781932E-03   0.00000000    
   616.072144       3.57216992E-03   0.00000000    
   615.779541       3.50840809E-03   0.00000000    
   615.487244       3.45331477E-03   0.00000000    
