 wavelength   modelled flux   observed flux
   679.851624       2.53178150E-04   2.29058569E-05
   679.494568       1.42883669E-04   2.29058569E-05
   679.137878       5.25759358E-04   9.16234276E-05
   678.781555       2.66911054E-04   4.58117138E-05
   678.425598       1.56816415E-04   9.16234276E-05
   678.070068       3.22179665E-04   1.83246855E-04
   677.714844       3.68332432E-04   6.87175707E-05
   677.360046       7.86818215E-04   2.74870283E-04
   677.005554       8.23185663E-04   1.14529284E-04
   676.651489       9.93306166E-04   3.43587861E-04
   676.297791       9.17755533E-04   4.35211288E-04
   675.944397       9.09536669E-04   4.12305410E-04
   675.591431       1.14030682E-03   4.58117138E-04
   675.238831       1.07012095E-03   6.41363964E-04
   674.886597       1.44262926E-03   8.24610819E-04
   674.534729       1.75045757E-03   8.24610819E-04
   674.183228       2.14058184E-03   9.62045975E-04
   673.832092       1.71934906E-03   7.78799120E-04
   673.481323       1.31932087E-03   1.07657525E-03
   673.130920       9.19710030E-04   9.16234276E-04
   672.780884       5.20517060E-04   1.16819865E-03
   672.431152       1.21672078E-04   1.19110453E-03
   672.081909       8.74833611E-04   1.46597484E-03
   671.732910       2.13358994E-03   1.39725721E-03
   671.384277       3.39102559E-03   1.69503340E-03
   671.036133       4.64669988E-03   1.90118607E-03
   670.688232       5.90149406E-03   2.22186814E-03
   670.340698       6.73124706E-03   2.10733875E-03
   669.993591       7.65536586E-03   2.70234980E-03
   669.646790       7.90237729E-03   2.13024463E-03
   669.300354       7.56793283E-03   2.72579701E-03
   668.954285       6.89060334E-03   2.47383257E-03
   668.608582       5.66610601E-03   2.38220906E-03
   668.263184       4.44269087E-03   3.27553740E-03
   667.918213       3.22078867E-03   3.04647884E-03
   667.573547       1.99996750E-03   3.61912535E-03
   667.229248       7.80443486E-04   3.45878443E-03
   666.885376       5.23411960E-04   3.89352487E-03
   666.541748       1.97934569E-03   3.55037255E-03
   666.198547       3.43346898E-03   3.50459618E-03
   665.855652       4.88629937E-03   4.42083040E-03
   665.513123       6.33757794E-03   3.71074886E-03
   665.170959       7.78730586E-03   4.23758337E-03
   664.829163       9.15819127E-03   4.46664216E-03
   664.487671       9.28829052E-03   4.83313575E-03
   664.146545       9.37584322E-03   4.78732400E-03
   663.805847       9.19460505E-03   4.92475927E-03
   663.465393       8.87438562E-03   5.81808761E-03
   663.125305       9.15843248E-03   6.00133464E-03
   662.785645       9.54508409E-03   6.64231880E-03
   662.446228       9.43485554E-03   6.78013358E-03
   662.107239       9.96211916E-03   7.53602665E-03
   661.768555       9.88015812E-03   7.10081542E-03
   661.430237       1.01758493E-02   7.65034510E-03
   661.092224       9.84180160E-03   7.30696833E-03
   660.754639       1.06155900E-02   7.28406245E-03
   660.417297       1.07036736E-02   7.42139667E-03
   660.080322       1.02672549E-02   8.63550790E-03
   659.743774       1.03146788E-02   9.25396569E-03
   659.407471       1.08979922E-02   1.01014832E-02
   659.071533       1.02214795E-02   1.05366940E-02
   658.736023       5.21858782E-03   1.07428469E-02
   658.400757       2.19337235E-04   1.12696812E-02
   658.065857       6.21424988E-03   1.13154929E-02
   657.731323       1.27068739E-02   1.19339516E-02
   657.397095       1.59444492E-02   1.38809495E-02
   657.063232       1.26764579E-02   1.40183847E-02
   656.729736       9.41205211E-03   1.55072650E-02
   656.396484       6.15003658E-03   1.58511270E-02
   656.063599       2.89160432E-03   1.77291334E-02
   655.731140       4.18977172E-04   1.82559676E-02
   655.398926       4.17596567E-03   1.92638263E-02
   655.067078       7.92881381E-03   1.99511461E-02
   654.735596       1.16775194E-02   2.02485882E-02
   654.404419       1.54227754E-02   2.24020313E-02
   654.073547       1.93276908E-02   2.24706456E-02
   653.743042       1.75084714E-02   2.15314589E-02
   653.412842       1.83052570E-02   2.16002222E-02
   653.083008       1.74065921E-02   2.17605643E-02
   652.753540       1.72332190E-02   1.97219420E-02
   652.424316       1.62541363E-02   1.87140852E-02
   652.095459       1.50187891E-02   1.87598970E-02
   651.767029       1.44079113E-02   1.81643441E-02
   651.438782       1.39572863E-02   1.91034842E-02
   651.110962       1.33601911E-02   1.68362651E-02
   650.783447       1.27343480E-02   1.68128982E-02
   650.456238       1.27035016E-02   1.64692625E-02
   650.129333       1.23557989E-02   1.51636768E-02
   649.802856       1.22587988E-02   1.55072650E-02
   649.476624       1.21471370E-02   1.37893260E-02
   649.150757       1.22386320E-02   1.40871014E-02
   648.825195       1.22256512E-02   1.30334329E-02
   648.499939       1.14393830E-02   1.28043741E-02
   648.175049       1.17498348E-02   1.25295036E-02
   647.850525       1.17578451E-02   1.12696812E-02
   647.526245       1.24359922E-02   1.09261638E-02
   647.202271       1.28158843E-02   1.02618234E-02
   646.878723       1.08545572E-02   1.14529282E-02
   646.555420       1.10642742E-02   9.18524899E-03
   646.232483       1.06317801E-02   9.98695381E-03
   645.909851       1.03471037E-02   8.93328432E-03
   645.587524       9.57304053E-03   9.11653135E-03
   645.265503       9.63918027E-03   8.03995598E-03
   644.943909       9.04297363E-03   8.01705010E-03
   644.622498       6.32463256E-03   8.13157950E-03
   644.301514       3.31211160E-03   8.29191972E-03
