 wavelength   modelled flux   observed flux
   679.851624       2.53178150E-04   1.45432388E-03
   679.494568       1.42883669E-04   1.19228358E-03
   679.137878       5.25759358E-04   1.38881383E-03
   678.781555       2.66911054E-04   1.65085413E-03
   678.425598       1.56816415E-04   1.34950783E-03
   678.070068       3.22179665E-04   1.37571176E-03
   677.714844       3.68332432E-04   1.78187434E-03
   677.360046       7.86818215E-04   1.97840459E-03
   677.005554       8.23185663E-04   1.83428242E-03
   676.651489       9.93306166E-04   2.07011867E-03
   676.297791       9.17755533E-04   1.80807838E-03
   675.944397       9.09536669E-04   2.30595493E-03
   675.591431       1.14030682E-03   2.56799534E-03
   675.238831       1.07012095E-03   2.46273377E-03
   674.886597       1.44262926E-03   2.69901566E-03
   674.534729       1.75045757E-03   3.01346392E-03
   674.183228       2.14058184E-03   2.54179141E-03
   673.832092       1.71934906E-03   3.28860641E-03
   673.481323       1.31932087E-03   3.58972396E-03
   673.130920       9.19710030E-04   3.44583043E-03
   672.780884       5.20517060E-04   4.24505351E-03
   672.431152       1.21672078E-04   4.04852349E-03
   672.081909       8.74833611E-04   4.20574751E-03
   671.732910       2.13358994E-03   4.46755858E-03
   671.384277       3.39102559E-03   4.24505351E-03
   671.036133       4.64669988E-03   4.88705235E-03
   670.688232       5.90149406E-03   5.25390869E-03
   670.340698       6.73124706E-03   5.13599068E-03
   669.993591       7.65536586E-03   5.22770500E-03
   669.646790       7.90237729E-03   5.08358283E-03
   669.300354       7.56793283E-03   5.58145950E-03
   668.954285       6.89060334E-03   5.71272895E-03
   668.608582       5.66610601E-03   5.86970383E-03
   668.263184       4.44269087E-03   6.07933616E-03
   667.918213       3.22078867E-03   6.39378419E-03
   667.573547       1.99996750E-03   6.34137634E-03
   667.229248       7.80443486E-04   6.53790636E-03
   666.885376       5.23411960E-04   6.87855901E-03
   666.541748       1.97934569E-03   6.23656018E-03
   666.198547       3.43346898E-03   6.40688650E-03
   665.855652       4.88629937E-03   6.86545717E-03
   665.513123       6.33757794E-03   6.77374285E-03
   665.170959       7.78730586E-03   7.02268118E-03
   664.829163       9.15819127E-03   6.51170267E-03
   664.487671       9.28829052E-03   7.66468002E-03
   664.146545       9.37584322E-03   6.94406917E-03
   663.805847       9.19460505E-03   7.59876845E-03
   663.465393       8.87438562E-03   7.14059919E-03
   663.125305       9.15843248E-03   7.55986385E-03
   662.785645       9.54508409E-03   8.18876084E-03
   662.446228       9.43485554E-03   7.40263984E-03
   662.107239       9.96211916E-03   7.49435369E-03
   661.768555       9.88015812E-03   7.90051650E-03
   661.430237       1.01758493E-02   7.67778186E-03
   661.092224       9.84180160E-03   7.84779340E-03
   660.754639       1.06155900E-02   7.74329202E-03
   660.417297       1.07036736E-02   7.99223036E-03
   660.080322       1.02672549E-02   8.29357654E-03
   659.743774       1.03146788E-02   8.17565899E-03
   659.407471       1.08979922E-02   8.03153683E-03
   659.071533       1.02214795E-02   8.12325068E-03
   658.736023       5.21858782E-03   8.14945437E-03
   658.400757       2.19337235E-04   8.29357654E-03
   658.065857       6.21424988E-03   8.12325068E-03
   657.731323       1.27068739E-02   8.51631165E-03
   657.397095       1.59444492E-02   7.71708833E-03
   657.063232       1.26764579E-02   8.00543278E-03
   656.729736       9.41205211E-03   8.63422919E-03
   656.396484       6.15003658E-03   8.21496453E-03
   656.063599       2.89160432E-03   8.47700518E-03
   655.731140       4.18977172E-04   8.59492365E-03
   655.398926       4.17596567E-03   8.52941349E-03
   655.067078       7.92881381E-03   8.09704699E-03
   654.735596       1.16775194E-02   8.49010702E-03
   654.404419       1.54227754E-02   8.35908670E-03
   654.073547       1.93276908E-02   8.26737285E-03
   653.743042       1.75084714E-02   8.04463867E-03
   653.412842       1.83052570E-02   8.45080148E-03
   653.083008       1.74065921E-02   8.20186269E-03
   652.753540       1.72332190E-02   8.80455598E-03
   652.424316       1.62541363E-02   8.47700518E-03
   652.095459       1.50187891E-02   8.26737285E-03
   651.767029       1.44079113E-02   8.56871903E-03
   651.438782       1.39572863E-02   8.73904582E-03
   651.110962       1.33601911E-02   8.25427100E-03
   650.783447       1.27343480E-02   8.92247353E-03
   650.456238       1.27035016E-02   9.01404861E-03
   650.129333       1.23557989E-02   8.11014883E-03
   649.802856       1.22587988E-02   8.60802550E-03
   649.476624       1.21471370E-02   8.63422919E-03
   649.150757       1.22386320E-02   8.50320887E-03
   648.825195       1.22256512E-02   9.14558861E-03
   648.499939       1.14393830E-02   9.32863634E-03
   648.175049       1.17498348E-02   9.49896220E-03
   647.850525       1.17578451E-02   8.56871903E-03
   647.526245       1.24359922E-02   9.57757421E-03
   647.202271       1.28158843E-02   9.06659570E-03
   646.878723       1.08545572E-02   9.07969754E-03
   646.555420       1.10642742E-02   8.71284120E-03
   646.232483       1.06317801E-02   8.62112734E-03
   645.909851       1.03471037E-02   8.52941349E-03
   645.587524       9.57304053E-03   8.68663751E-03
